emp_id,emp_name,emp_role,emp_manager,emp_hiredate,emp_salary,emp_comm,dept_id
7839,KING,PRESIDENT,,1981-11-17,5000,null,10
7698,BLAKE,MANAGER,7839,1981-01-05,2850,125,30
7782,CLARK,MANAGER,7839,1983-09-06,2450,null,10
7566,JONES,MANAGER,7839,1981-02-04,2975,345,20
7788,SCOTT,ANALYST,7566,1984-12-17,3000,null,20
7902,FORD,ANALYST,7566,1981-11-27,3000,null,20
7369,SMITH,CLERK,7902,1980-04-04,800,null,20
7499,ALLEN,SALESMAN,7698,1981-05-05,1600,300,30
7521,WARD,SALESMAN,7698,1982-06-23,1250,500,30
7654,MARTIN,SALESMAN,7698,1981-07-21,1250,1400,30
7844,TURNER,SALESMAN,7698,1982-09-08,1500,0,30
7876,ADAMS,CLERK,7788,1980-11-14,1100,100,20
7900,JAMES,CLERK,7788,1983-08-05,950,null,30
7934,MILLER,CLERK,7788,1982-01-02,1300,225,10
7935,ROBERT,ANALYST,7566,1984-03-31,1940,225,10
